"Timestamp","Industry segment","Your primary role","Which programming languages do you currently use or have used in the past for microcontroller projects?","What ratio of your embedded codebase is in C/C++?","Real‑time performance","Debugging microcontroller programs","Integration with legacy code","Interacting with hardware","Memory constraints (binary size, RAM/flash usage)","Memory vulnerabilities (e.g. use after free, buffer overflows)","Power consumption management","Safety certification (e.g. IEC 61508, ISO 26262)","Tooling complexity (e.g. build system)","Availability of libraries","Interoperability with C code","Maturity of compiler/toolchain","Real-time performance","Safety of memory management","Strong community support","Team expertise and training cost","Tooling features and usability (e.g. build system)","Have you ever used any “modern” language (e.g. Rust, Zig) for embedded development?","If not, what barriers prevent you?","How likely are you to adopt any “modern” language in the next 12 months?","Rate your satisfaction with the build system for C/C++ that you use for embedded projects.","How much do you rely on C/C++ static analysis tools for microcontroller code? (e.g. clang-tidy, MISRA checkers)","Rate your satisfaction with C/C++ static analysis tools for microcontroller code.","Can you think of any language or tooling features would most help your embedded development?","Any additional comments?"
"2025/05/14 12:21:10 am EEST","Industrial automation","Software engineer","C","2","3","4","1","4","2","1","1","1","1","5","5","5","4","2","5","4","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","2","4","2","3","",""
"2025/05/14 12:35:14 am EEST","Industrial automation","Hardware and Software","C;Python / MicroPython;Golang","7","4","2","5","4","1","4","1","3","4","4","2","5","4","4","2","4","4","Yes","Team unfamiliarity","4","2","2","2","",""
"2025/05/14 12:41:27 am EEST","IoT / Edge Computing","Software engineer","C;C++","10","3","2","2","3","5","5","4","3","2","2","5","5","4","5","2","5","3","No","Lack of mature toolchain;lightness of C","1","5","1","","esp-idf is best of the best frameworks i ever use.
easiest to read and understand this documentation","now i just can say that C is the best lang to use in embedded world"
"2025/05/14 12:42:37 am EEST","Aerospace","Software engineer","C;Fortran ","8","4","1","5","3","1","5","1","3","2","2","5","5","4","5","3","4","4","No","Team unfamiliarity","3","4","4","3","",""
"2025/05/14 12:43:27 am EEST","Automotive;Consumer electronics","Hardware engineer","C","10","5","4","3","4","5","4","4","1","3","3","3","4","4","3","3","3","3","No","Insufficient libraries/driver support;Lack of mature toolchain","1","5","3","","",""
"2025/05/14 12:46:01 am EEST","Automotive","Software engineer","C;C++","10","3","3","1","2","4","3","2","4","3","4","4","4","5","2","4","3","3","No","Difficulty of integrating into existing codebase;Fear of insufficient performance;Team unfamiliarity","1","5","4","2","",""
"2025/05/14 12:46:01 am EEST","Datacenter","Software engineer","C;C++","10","3","4","5","5","4","3","4","1","2","3","3","5","4","4","4","5","4","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Team unfamiliarity","4","4","4","3","",""
"2025/05/14 12:47:08 am EEST","Consumer electronics","Hardware engineer","Assembly;C;C++","9","4","3","3","4","4","4","4","4","3","3","4","4","4","4","2","4","4","Yes","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","1","4","4","4","",""
"2025/05/14 12:54:15 am EEST","Automotive;Consumer electronics;Industrial automation","System architect","C++;JavaScript / TypeScript (e.g. Espruino)","10","4","4","2","5","3","1","2","2","3","5","4","4","4","2","5","4","4","Yes","Insufficient libraries/driver support;Lack of mature toolchain","1","5","4","5","PlatformIO",""
"2025/05/14 1:06:22 am EEST","Material Handling (Forklifts)","Software engineer","C","8","1","2","5","3","2","1","1","4","4","1","1","3","4","3","2","5","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","1","2","5","2","Built in unit test, and integration tests","I use ""Modern Languages"" for home projects, not at work"
"2025/05/14 1:06:41 am EEST","Energy","Software engineer","Assembly;C;C++","10","4","5","4","5","4","5","4","5","3","3","3","4","4","4","4","3","4","No","Difficulty of integrating into existing codebase;Team unfamiliarity","1","4","4","4","",""
"2025/05/14 1:08:48 am EEST","Automotive","Software engineer","C","9","2","2","4","3","3","2","3","3","4","2","3","3","5","4","2","4","4","No","Difficulty of integrating into existing codebase","2","3","4","3","",""
"2025/05/14 1:10:39 am EEST","Consumer electronics;IoT / Edge Computing","Software engineer","C;C++;Java / Micronaut;Python / MicroPython;Shell scripts","9","3","5","5","5","4","4","3","2","5","3","4","4","3","4","2","3","5","No","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","2","4","4","4","",""
"2025/05/14 1:16:13 am EEST","Transport","Software engineer","Assembly;C;Python / MicroPython;Bash","10","4","4","4","5","4","2","5","3","3","5","5","5","4","3","3","4","4","No","Difficulty of integrating into existing codebase;Insufficient libraries/driver support;Team unfamiliarity","2","5","4","3","",""
"2025/05/14 1:19:19 am EEST","Medical devices","System architect","Assembly;C;C++","10","4","4","4","5","5","5","4","4","3","4","5","5","4","4","4","3","4","No","Difficulty of integrating into existing codebase;Lack of mature toolchain;Team unfamiliarity","1","4","5","4","No","None"
