TagName,Count
"c++","40653"
"arrays","30382"
"linux","29893"
"pointers","28416"
"gcc","15959"
"struct","14669"
"string","14289"
"sockets","8793"
"function","7960"
"windows","7797"
"malloc","7739"
"multithreading","7191"
"file","6956"
"scanf","6654"
"linked-list","6383"
"segmentation-fault","6336"
"assembly","6333"
"printf","5975"
"python","5928"
"memory","5904"
"algorithm","5840"
"winapi","5409"
"unix","5348"
"pthreads","4934"
"char","4908"
"embedded","4618"
"memory-management","4538"
"linux-kernel","4361"
"makefile","4147"
"loops","3886"
